customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income_missing,Year,Month,Day,Weekday,education_level_encoded,gender_encoded,income_bin,income_binary,income_quantile,income_cluster,income_standard,income_minmax,income_maxabs,income_robust,income_log,income_reciprocal,income_sqrt,income_power,debt_to_income,avg_monthly_transactions,spending_to_income
1,59,Female,East,High School,Unemployed,0.8631369833475667,0.504969848582727,Business,815.0,8,95,54.53674052422831,2020-01-01,0,1,2020,1,1,Wednesday,1.0,0,Medium,1.0,1,2,-0.3342539557619513,0.8136325875239389,0.863718497371018,0.05668449672389945,0.6222616172832907,0.5367291878900193,0.9290516580619006,0.16945194483352158,0.5850402176306544,15.833333333333334,63.184339886253646
2,49,Male,West,Post-Graduate,Salaried,0.9792182439443881,0.20280934575721357,Business,696.0,0,162,69.0636408382646,2020-01-02,1,1,2020,1,2,Thursday,2.0,1,High,1.0,3,0,1.2593451310621506,0.9724827534733759,0.9798779644196532,0.5695094362370832,0.6827019404513085,0.5052499910303464,0.9895545684520829,1.2447071620065793,0.20711352858406462,27.0,70.52936489425424
3,35,Male,East,Graduate,Salaried,0.85388225603255,0.5204662264093252,Education,405.0,4,11,36.8487395392721,2020-01-03,0,1,2020,1,3,Friday,0.0,1,Medium,1.0,1,2,-0.2564328090274572,0.8009680544007739,0.8544575349463712,0.015798870989538343,0.6172819570538821,0.5394085825817637,0.92405749606426,0.09756661902045385,0.6095292679199145,1.8333333333333333,43.154356796784676
4,28,Female,West,Graduate,Salaried,0.7117042370734331,0.7024792373670005,Car,384.0,2,351,71.20852733065047,2020-01-04,0,1,2020,1,4,Saturday,0.0,0,Low,0.0,0,1,-1.549478079443151,0.6064060571421366,0.7121837275858229,-0.6123165853549284,0.537489504076255,0.5842130774354679,0.8436256498432424,-0.7967844121255653,0.9870381554220242,58.5,100.05353856464849
5,41,Male,South,High School,Salaried,0.9405905608322721,0.3395429234621623,Car,513.0,5,398,44.62136653665549,2020-01-05,0,1,2020,1,5,Sunday,1.0,1,High,1.0,3,0,1.6227182589791618,0.9196231115203671,0.9412242570033347,0.39885967628739044,0.6629923395512015,0.5153070514633052,0.9698404821579022,0.8488752566380224,0.3609890823927907,66.33333333333333,47.43973456120241
6,59,Male,South,High School,Salaried,0.9090477639315567,0.4166919280368132,Home,420.0,9,269,48.73475986580775,2020-01-06,0,1,2020,1,6,Monday,1.0,1,High,1.0,2,2,0.6377235297857085,0.87645870671957,0.9096602090392417,0.2595095966145914,0.646604564824297,0.5238213620913111,0.9534399634646938,0.5547083141360105,0.45838287554292517,44.833333333333336,53.61078020260886
7,39,Female,South,Post-Graduate,Salaried,0.9112862608827508,0.4117734215880561,Home,431.0,1,173,61.84817018088572,2020-01-07,0,1,2020,1,7,Tuesday,2.0,0,High,1.0,3,0,1.6091224090557905,0.8795219540546374,0.9119002141141678,0.2693988505535512,0.6477764504200771,0.5232078629279414,0.9546131472396296,0.574764799777127,0.45185957394899895,28.833333333333332,67.86909101534596
8,43,Male,East,Graduate,Unemployed,0.9538605585294376,0.30024995400817184,Home,496.0,8,15,11.468670719937917,2020-01-08,1,1,2020,1,8,Wednesday,0.0,1,High,1.0,3,0,1.4243373665528654,0.9377822986751724,0.9545031949844887,0.45748400317185695,0.6698071890114741,0.5118072503355329,0.9766578513120332,0.980295630817222,0.3147734239804042,2.5,12.023424825971537
9,31,Male,South,Post-Graduate,Unemployed,0.9574068562200548,0.28874229281979347,Car,318.0,5,158,62.319537713619866,2020-01-09,0,1,2020,1,9,Thursday,2.0,1,High,1.0,3,0,0.8322135046352507,0.9426351920169945,0.9580518818924355,0.47315087213361867,0.6716205647213667,0.5108799924871513,0.9784716941332819,1.0162125292319801,0.30158786825465095,26.333333333333332,65.09201110138703
10,31,Female,North,Graduate,Self-Employed,0.8974804215890996,0.44105429695702114,Home,311.0,6,214,59.48681192576923,2020-01-10,1,1,2020,1,10,Friday,0.0,0,High,1.0,2,2,0.6030993947115307,0.8606295001685206,0.8980850735284741,0.20840727737202003,0.6405269122313074,0.5270146604003014,0.9473544329284049,0.4530004147774605,0.4914361208861584,35.666666666666664,66.282016292278
11,44,Female,West,Post-Graduate,Unemployed,0.509608018635737,0.8604066871788933,Car,380.0,4,127,34.78776934026239,2020-01-11,1,1,2020,1,11,Saturday,2.0,0,Low,0.0,0,1,-1.600565939033911,0.3298496373416715,0.5099513525618893,-1.5051392551234943,0.411850026819978,0.6624236143788638,0.7138683482517887,-1.552196611653792,1.688369601173611,21.166666666666668,68.26377935220121
12,56,Male,West,High School,Unemployed,0.9796736905609543,0.20059775677379696,Car,629.0,8,494,16.86354279195916,2020-01-12,0,0,2020,1,12,Sunday,1.0,1,Medium,1.0,1,2,-0.005323337771029422,0.9731060045498262,0.9803337178804395,0.5715215127978582,0.6829320283779863,0.5051337524805126,0.9897846687845565,1.2496201242316407,0.20475976716179453,82.33333333333333,17.213428261305264
13,44,Male,North,Graduate,Salaried,0.6740266939367102,0.7387069891782183,Business,691.0,0,98,17.27483599304329,2020-01-13,1,0,2020,1,13,Monday,0.0,1,Medium,1.0,1,2,-0.005323337771029422,0.5548466241288859,0.6744808002747152,-0.7787688075375017,0.5152319181388959,0.5973620394596927,0.8209912873695495,-0.9768069956278128,1.0959610291748794,16.333333333333332,25.629305409475908
